Gene ID,Product Description,Gene Type
AARA009529,Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A182I7H5],protein coding gene
AARA009530,unspecified product,protein coding gene
AARA009531,cyclin Y [Source:Projected from Anopheles gambiae (AGAP008969) VB Community Annotation],protein coding gene
AARA009532,Nuclear pore complex protein Nup214 [Source:Projected from Anopheles gambiae (AGAP008970) UniProtKB/TrEMBL;Acc:A0A1S4GZS4],protein coding gene
AARA009533,unspecified product,protein coding gene
AARA009534,unspecified product,protein coding gene
AARA009535,unspecified product,protein coding gene
AARA009536,protein cornichon homolog [Source:Projected from Anopheles gambiae (AGAP008974) VB Community Annotation],protein coding gene
AARA009537,unspecified product,protein coding gene
AARA009538,unspecified product,protein coding gene
AARA009539,hyperpolarization activated cyclic nucleotide-gated potassium channel [Source:Projected from Anopheles gambiae (AGAP008976) VB Community Annotation],protein coding gene
AARA009540,S-adenosylmethionine sensor upstream of mTORC1 [Source:UniProtKB/TrEMBL;Acc:A0A182I7I6],protein coding gene
AARA009541,G-protein-signaling modulator [Source:Projected from Anopheles gambiae (AGAP008977) VB Community Annotation],protein coding gene
AARA009542,unspecified product,protein coding gene
AARA009543,unspecified product,protein coding gene
AARA009544,unspecified product,protein coding gene
AARA009548,CzcD (Cation-efflux system membrane protein) [Source:Projected from Anopheles gambiae (AGAP008982) VB Community Annotation],protein coding gene
AARA009549,unspecified product,protein coding gene
AARA009550,unspecified product,protein coding gene
AARA009551,DnaJ homolog subfamily C member [Source:Projected from Anopheles gambiae (AGAP008985) VB Community Annotation],protein coding gene
AARA009553,CHK domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I7J9],protein coding gene
AARA009554,Glutamine synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182I7K0],protein coding gene
AARA009555,RAS-like family 11 member A [Source:Projected from Anopheles gambiae (AGAP008989) VB Community Annotation],protein coding gene
AARA009556,lysophospholipase III [Source:Projected from Anopheles gambiae (AGAP008990) VB Community Annotation],protein coding gene
AARA009558,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I7K4],protein coding gene
AARA009559,unspecified product,protein coding gene
AARA009560,unspecified product,protein coding gene
AARA009561,CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP008998) UniProtKB/TrEMBL;Acc:A0A1S4H0K2],protein coding gene
AARA009562,unspecified product,protein coding gene
AARA009563,unspecified product,protein coding gene
AARA009564,Histidine decarboxylase [Source:Projected from Anopheles gambiae (AGAP009001) UniProtKB/TrEMBL;Acc:A0A1S4GZT6],protein coding gene
AARA009567,unspecified product,protein coding gene
AARA009568,unspecified product,protein coding gene
AARA009569,unspecified product,protein coding gene
AARA009570,U3 small nucleolar RNA-associated protein [Source:Projected from Anopheles gambiae (AGAP009004) VB Community Annotation],protein coding gene
AARA009571,"solute carrier family 30 (zinc transporter), member [Source:Projected from Anopheles gambiae (AGAP009005) VB Community Annotation]",protein coding gene
AARA009572,unspecified product,protein coding gene
AARA009573,unspecified product,protein coding gene
AARA009574,unspecified product,protein coding gene
AARA009575,unspecified product,protein coding gene
AARA009576,unspecified product,protein coding gene
AARA009577,unspecified product,protein coding gene
AARA009578,unspecified product,protein coding gene
AARA009579,unspecified product,protein coding gene
AARA009580,ubiquitin-like modifier-activating enzyme [Source:Projected from Anopheles gambiae (AGAP009012) VB Community Annotation],protein coding gene
AARA009581,methionyl aminopeptidase [Source:Projected from Anopheles gambiae (AGAP009013) VB Community Annotation],protein coding gene
AARA009582,ionotropic receptor IR31a [Source:Projected from Anopheles gambiae (AGAP009014) VB Community Annotation],protein coding gene
AARA009583,unspecified product,protein coding gene
AARA009584,LIX1-like protein [Source:Projected from Anopheles gambiae (AGAP009016) VB Community Annotation],protein coding gene
AARA009585,Cytochrome b-561 domain containing protein [Source:Projected from Anopheles gambiae (AGAP009017) UniProtKB/TrEMBL;Acc:A0A1S4H0N6],protein coding gene
AARA009586,unspecified product,protein coding gene
AARA009587,unspecified product,protein coding gene
AARA009588,unspecified product,protein coding gene
AARA009589,unspecified product,protein coding gene
AARA009590,unspecified product,protein coding gene
AARA009591,unspecified product,protein coding gene
AARA009592,unspecified product,protein coding gene
AARA009593,unspecified product,protein coding gene
AARA009596,alpha-tocopherol transfer protein-like [Source:Projected from Anopheles gambiae (AGAP013350) VB Community Annotation],protein coding gene
AARA009597,"solute carrier family 5 (sodium-coupled monocarboxylate transporter), member [Source:Projected from Anopheles gambiae (AGAP004199) VB Community Annotation]",protein coding gene
AARA009598,serine protease inhibitor (serpin) 19,protein coding gene
AARA009599,dynactin [Source:Projected from Anopheles gambiae (AGAP004194) VB Community Annotation],protein coding gene
AARA009600,heat shock 70kDa protein [Source:Projected from Anopheles gambiae (AGAP004192) VB Community Annotation],protein coding gene
AARA009601,mediator of RNA polymerase II transcription subunit 22,protein coding gene
AARA009602,U3 small nucleolar RNA-associated protein [Source:Projected from Anopheles gambiae (AGAP004190) VB Community Annotation],protein coding gene
AARA009603,unspecified product,protein coding gene
AARA009604,"6-phosphogluconate dehydrogenase, decarboxylating [Source:UniProtKB/TrEMBL;Acc:A0A182I7Q0]",protein coding gene
AARA009605,unspecified product,protein coding gene
AARA009606,"D-2-hydroxyglutarate dehydrogenase, mitochondrial [Source:Projected from Anopheles gambiae (AGAP004195) VB Community Annotation]",protein coding gene
AARA009607,polyhomeotic-like protein [Source:Projected from Anopheles gambiae (AGAP004188) VB Community Annotation],protein coding gene
AARA009611,unspecified product,protein coding gene
AARA009612,unspecified product,protein coding gene
AARA009617,unspecified product,protein coding gene
AARA009618,unspecified product,protein coding gene
AARA009619,ribosomal RNA large subunit methyltransferase E [Source:Projected from Anopheles gambiae (AGAP013223) VB Community Annotation],protein coding gene
AARA009621,unspecified product,protein coding gene
AARA009622,glutathione S-transferase,protein coding gene
AARA009624,unspecified product,protein coding gene
AARA009629,unspecified product,protein coding gene
AARA009630,unspecified product,protein coding gene
AARA009632,glutathione S-transferase,protein coding gene
AARA009633,unspecified product,protein coding gene
AARA009634,"myosin, light polypeptide 9, regulatory [Source:Projected from Anopheles gambiae (AGAP004162) VB Community Annotation]",protein coding gene
AARA009635,myofilin variant C [Source:Projected from Anopheles gambiae (AGAP004161) VB Community Annotation],protein coding gene
AARA009636,unspecified product,protein coding gene
AARA009637,Malic enzyme [Source:UniProtKB/TrEMBL;Acc:A0A182I7T1],protein coding gene
AARA009638,UDP-sugar diphosphatase [Source:Projected from Anopheles gambiae (AGAP004158) VB Community Annotation],protein coding gene
AARA009644,unspecified product,protein coding gene
AARA009645,serine palmitoyltransferase small subunit A [Source:Projected from Anopheles gambiae (AGAP004153) VB Community Annotation],protein coding gene
AARA009646,unspecified product,protein coding gene
AARA009647,protein phosphatase [Source:Projected from Anopheles gambiae (AGAP004151) VB Community Annotation],protein coding gene
AARA009648,unspecified product,protein coding gene
AARA009650,exocyst complex component [Source:Projected from Anopheles gambiae (AGAP004147) VB Community Annotation],protein coding gene
AARA009651,Ras-related protein Rab-1A [Source:Projected from Anopheles gambiae (AGAP004146) VB Community Annotation],protein coding gene
AARA009652,unspecified product,protein coding gene
AARA009653,RNA-binding protein PNO1 [Source:Projected from Anopheles gambiae (AGAP004145) VB Community Annotation],protein coding gene
AARA009654,unspecified product,protein coding gene
AARA009655,unspecified product,protein coding gene
AARA009656,unspecified product,protein coding gene
AARA009657,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:A0A182I7V0],protein coding gene
AARA009658,unspecified product,protein coding gene
AARA009659,unspecified product,protein coding gene
AARA009661,unspecified product,protein coding gene
AARA009662,WD repeat domain phosphoinositide-interacting protein [Source:Projected from Anopheles gambiae (AGAP012792) VB Community Annotation],protein coding gene
AARA009665,unspecified product,protein coding gene
AARA009666,unspecified product,protein coding gene
AARA009667,Yellow-e [Source:Projected from Anopheles gambiae (AGAP004135) VB Community Annotation],protein coding gene
AARA009668,protein osiris 12,protein coding gene
AARA009669,protein osiris 11,protein coding gene
AARA009670,unspecified product,protein coding gene
AARA009672,protein osiris 9,protein coding gene
AARA009673,protein osiris 8,protein coding gene
AARA009674,protein osiris 7,protein coding gene
AARA009675,protein osiris 6,protein coding gene
AARA009676,protein osiris 5,protein coding gene
AARA009677,protein osiris 4,protein coding gene
AARA009678,protein osiris 3,protein coding gene
AARA009679,Protein osiris 2 [Source:UniProtKB/TrEMBL;Acc:A0A182I7X1],protein coding gene
AARA009680,Protein osiris 24 [Source:UniProtKB/TrEMBL;Acc:A0A182I7X2],protein coding gene
AARA009681,neuropeptide Y receptor [Source:Projected from Anopheles gambiae (AGAP004123) VB Community Annotation],protein coding gene
AARA009682,Protein osiris 1 [Source:UniProtKB/TrEMBL;Acc:A0A182I7X4],protein coding gene
AARA009683,golgin subfamily A member [Source:Projected from Anopheles gambiae (AGAP004120) VB Community Annotation],protein coding gene
AARA009686,scavenger receptor class A,protein coding gene
AARA009690,Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A182I7Y0],protein coding gene
AARA009691,"39S ribosomal protein L55, mitochondrial [Source:Projected from Anopheles gambiae (AGAP004113) VB Community Annotation]",protein coding gene
AARA009692,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I7Y2],protein coding gene
AARA009693,unspecified product,protein coding gene
AARA009694,unspecified product,protein coding gene
AARA009695,Xaa-Pro aminopeptidase [Source:Projected from Anopheles gambiae (AGAP004109) VB Community Annotation],protein coding gene
AARA009696,Amalgam [Source:Projected from Anopheles gambiae (AGAP004108) VB Community Annotation],protein coding gene
AARA009697,unspecified product,protein coding gene
AARA009698,unspecified product,protein coding gene
AARA009699,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I7Y9],protein coding gene
AARA009703,unspecified product,protein coding gene
AARA009704,dehydrogenase/reductase SDR family member 11 precursor [Source:Projected from Anopheles gambiae (AGAP004103) VB Community Annotation],protein coding gene
AARA009705,unspecified product,protein coding gene
AARA009706,DNA methyltransferase 2,protein coding gene
AARA009707,"39S ribosomal protein L43, mitochondrial [Source:Projected from Anopheles gambiae (AGAP012837) VB Community Annotation]",protein coding gene
AARA009709,GTP-binding protein SAR1 [Source:Projected from Anopheles gambiae (AGAP004098) VB Community Annotation],protein coding gene
AARA009710,Serine/threonine protein phosphatase 2A regulatory subunit [Source:UniProtKB/TrEMBL;Acc:A0A182I800],protein coding gene
AARA009711,unspecified product,protein coding gene
AARA009712,Sterol carrier protein-2 [Source:Projected from Anopheles gambiae (AGAP004094) VB Community Annotation],protein coding gene
AARA009713,unspecified product,protein coding gene
AARA009716,"28S ribosomal protein S5, mitochondrial [Source:Projected from Anopheles gambiae (AGAP004091) VB Community Annotation]",protein coding gene
AARA009721,unspecified product,protein coding gene
AARA009722,unspecified product,protein coding gene
AARA009724,unspecified product,protein coding gene
AARA009725,prenyl protein peptidase [Source:Projected from Anopheles gambiae (AGAP004086) VB Community Annotation],protein coding gene
AARA009726,transcriptional adapter [Source:Projected from Anopheles gambiae (AGAP004085) VB Community Annotation],protein coding gene
AARA009727,aprataxin [Source:Projected from Anopheles gambiae (AGAP004084) VB Community Annotation],protein coding gene
AARA009728,unspecified product,protein coding gene
AARA009729,unspecified product,protein coding gene
AARA009730,unspecified product,protein coding gene
AARA009731,unspecified product,protein coding gene
AARA009732,DNA topoisomerase I [Source:Projected from Anopheles gambiae (AGAP004078) VB Community Annotation],protein coding gene
AARA009733,unspecified product,protein coding gene
AARA009734,unspecified product,protein coding gene
AARA009735,fimbrin [Source:Projected from Anopheles gambiae (AGAP004071) VB Community Annotation],protein coding gene
AARA009737,unspecified product,protein coding gene
AARA009738,PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I828],protein coding gene
AARA009739,odorant receptor,protein coding gene
AARA009745,unspecified product,protein coding gene
AARA009746,hemomucin [Source:Projected from Anopheles gambiae (AGAP004065) VB Community Annotation],protein coding gene
AARA009747,RNA-binding protein Nob1 [Source:Projected from Anopheles gambiae (AGAP004064) VB Community Annotation],protein coding gene
AARA009748,mediator of RNA polymerase II transcription subunit 4,protein coding gene
AARA009749,DDB1- and CUL4-associated factor [Source:Projected from Anopheles gambiae (AGAP004062) VB Community Annotation],protein coding gene
AARA009750,unspecified product,protein coding gene
AARA009751,unspecified product,protein coding gene
AARA009752,Ca-activated cl channel protein [Source:Projected from Anopheles gambiae (AGAP004059) VB Community Annotation],protein coding gene
AARA009753,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182I843]",protein coding gene
AARA009754,unspecified product,protein coding gene
AARA009755,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferas [Source:Projected from Anopheles gambiae (AGAP004055) VB Community Annotation],protein coding gene
AARA009756,Sphingomyelin phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A182I846],protein coding gene
AARA009757,unspecified product,protein coding gene
AARA009758,unspecified product,protein coding gene
AARA009760,Protease m1 zinc metalloprotease [Source:Projected from Anopheles gambiae (AGAP013150) VB Community Annotation],protein coding gene
AARA009764,Mpv17-like protein [Source:Projected from Anopheles gambiae (AGAP004046) VB Community Annotation],protein coding gene
AARA009765,unspecified product,protein coding gene
AARA009769,heme peroxidase [Source:Projected from Anopheles gambiae (AGAP004038) VB Community Annotation],protein coding gene
AARA009770,heme peroxidase [Source:Projected from Anopheles gambiae (AGAP004036) VB Community Annotation],protein coding gene
AARA009771,unspecified product,protein coding gene
AARA009774,unspecified product,protein coding gene
AARA009775,unspecified product,protein coding gene
AARA009776,Alpha-mannosidase [Source:Projected from Anopheles gambiae (AGAP004032) UniProtKB/TrEMBL;Acc:Q7QH78],protein coding gene
AARA009777,mitochondrial electron transfer flavoprotein subunit alpha [Source:Projected from Anopheles gambiae (AGAP004031) VB Community Annotation],protein coding gene
AARA009778,"dynein light intermediate chain, axonemal [Source:Projected from Anopheles gambiae (AGAP004030) VB Community Annotation]",protein coding gene
AARA009779,DNA excision repair protein ERCC-1 [Source:Projected from Anopheles gambiae (AGAP004029) VB Community Annotation],protein coding gene
AARA009780,intron-binding protein aquarius [Source:Projected from Anopheles gambiae (AGAP004028) VB Community Annotation],protein coding gene
AARA009781,methuselah receptor [Source:Projected from Anopheles gambiae (AGAP004026) VB Community Annotation],protein coding gene
AARA009782,methuselah receptor [Source:Projected from Anopheles gambiae (AGAP004025) VB Community Annotation],protein coding gene
AARA009783,unspecified product,protein coding gene
AARA009784,Cysteine protease [Source:UniProtKB/TrEMBL;Acc:A0A182I874],protein coding gene
AARA009786,unspecified product,protein coding gene
AARA009788,unspecified product,protein coding gene
AARA009789,unspecified product,protein coding gene
AARA009790,unspecified product,protein coding gene
AARA009791,katanin p60 ATPase-containing subunit [Source:Projected from Anopheles gambiae (AGAP004012) VB Community Annotation],protein coding gene
AARA009792,unspecified product,protein coding gene
AARA009793,unspecified product,protein coding gene
AARA009795,p53 and DNA damage-regulated protein [Source:Projected from Anopheles gambiae (AGAP013015) VB Community Annotation],protein coding gene
AARA009799,unspecified product,protein coding gene
AARA009802,unspecified product,protein coding gene
AARA009803,unspecified product,protein coding gene
AARA009804,unspecified product,protein coding gene
AARA009805,unspecified product,protein coding gene
AARA009806,Nucleolar protein 6 [Source:UniProtKB/TrEMBL;Acc:A0A182I896],protein coding gene
AARA009807,unspecified product,protein coding gene
AARA009809,TP53-regulated inhibitor of apoptosis [Source:Projected from Anopheles gambiae (AGAP003988) VB Community Annotation],protein coding gene
AARA009810,"complement component 1 Q subcomponent-binding protein, mitochondrial [Source:Projected from Anopheles gambiae (AGAP003987) VB Community Annotation]",protein coding gene
AARA009813,3-dehydrosphinganine reductase [Source:Projected from Anopheles gambiae (AGAP003984) VB Community Annotation],protein coding gene
AARA009814,nuclear pore complex protein Nup121 [Source:Projected from Anopheles gambiae (AGAP003983) VB Community Annotation],protein coding gene
AARA009815,methyl-CpG-binding domain protein [Source:Projected from Anopheles gambiae (AGAP003982) VB Community Annotation],protein coding gene
AARA009816,unspecified product,protein coding gene
AARA009817,vacuolar protein sorting [Source:Projected from Anopheles gambiae (AGAP003980) VB Community Annotation],protein coding gene
AARA009818,Elongator complex protein [Source:Projected from Anopheles gambiae (AGAP003979) UniProtKB/TrEMBL;Acc:Q7PMK6],protein coding gene
AARA009819,unspecified product,protein coding gene
AARA009820,unspecified product,protein coding gene
AARA009821,Heme oxygenase [Source:Projected from Anopheles gambiae (AGAP003975) UniProtKB/TrEMBL;Acc:Q7Q288],protein coding gene
AARA009822,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182I8B2],protein coding gene
AARA009823,unspecified product,protein coding gene
AARA009824,serine-type enodpeptidase [Source:Projected from Anopheles gambiae (AGAP003971) VB Community Annotation],protein coding gene
AARA009825,Component of oligomeric golgi complex [Source:Projected from Anopheles gambiae (AGAP003970) VB Community Annotation],protein coding gene
AARA009826,unspecified product,protein coding gene
AARA009827,UMP-CMP kinase [Source:UniProtKB/TrEMBL;Acc:A0A182I8B7],protein coding gene
AARA009828,DNA-dependent protein kinase catalytic subunit [Source:Projected from Anopheles gambiae (AGAP003967) VB Community Annotation],protein coding gene
AARA009833,unspecified product,protein coding gene
AARA009834,WSCD family member AGAP003962 [Source:Projected from Anopheles gambiae (AGAP003962) VB Community Annotation],protein coding gene
AARA009837,unspecified product,protein coding gene
AARA009842,regulatory factor X 1/2/3 [Source:Projected from Anopheles gambiae (AGAP003943) VB Community Annotation],protein coding gene
AARA009843,unspecified product,protein coding gene
AARA009844,LYR motif-containing protein [Source:Projected from Anopheles gambiae (AGAP003941) VB Community Annotation],protein coding gene
AARA009845,unspecified product,protein coding gene
AARA009846,Fork-head domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I8D6],protein coding gene
AARA009848,PDZ domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I8D8],protein coding gene
AARA009849,26S proteasome alpha 1 subunit,protein coding gene
AARA009850,Battenin [Source:UniProtKB/TrEMBL;Acc:A0A182I8E0],protein coding gene
AARA009851,unspecified product,protein coding gene
AARA009855,unspecified product,protein coding gene
AARA009857,Insulin-like peptide [Source:Projected from Anopheles gambiae (AGAP003927) VB Community Annotation],protein coding gene
AARA009859,kinesin family member 1/13/14 [Source:Projected from Anopheles gambiae (AGAP003925) VB Community Annotation],protein coding gene
AARA009862,histone-arginine methyltransferase CARMER [Source:Projected from Anopheles gambiae (AGAP003923) VB Community Annotation],protein coding gene
AARA009863,unspecified product,protein coding gene
AARA009864,voltage-gated ion channel [Source:Projected from Anopheles gambiae (AGAP003921) VB Community Annotation],protein coding gene
AARA009865,unspecified product,protein coding gene
AARA009866,unspecified product,protein coding gene
AARA009867,unspecified product,protein coding gene
AARA009868,peptide alpha-N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP003917) VB Community Annotation],protein coding gene
AARA009871,unspecified product,protein coding gene
AARA009872,unspecified product,protein coding gene
AARA009873,unspecified product,protein coding gene
AARA009874,unspecified product,protein coding gene
AARA009875,unspecified product,protein coding gene
AARA009876,unspecified product,protein coding gene
AARA009877,unspecified product,protein coding gene
AARA009878,unspecified product,protein coding gene
AARA009879,polo-like kinase [Source:Projected from Anopheles gambiae (AGAP012499) VB Community Annotation],protein coding gene
AARA009880,unspecified product,protein coding gene
AARA009881,unspecified product,protein coding gene
AARA009882,unspecified product,protein coding gene
AARA009883,unspecified product,protein coding gene
AARA009884,unspecified product,protein coding gene
AARA009885,unspecified product,protein coding gene
AARA009886,unspecified product,protein coding gene
AARA009887,ADP-ribosylation factor-like protein 13B [Source:Projected from Anopheles gambiae (AGAP003905) VB Community Annotation],protein coding gene
AARA009888,unspecified product,protein coding gene
AARA009889,AIF-like mitochondrial oxidoreductase (Nfrl) [Source:Projected from Anopheles gambiae (AGAP003904) VB Community Annotation],protein coding gene
AARA009890,Required for meiotic nuclear division 1 homolog (S. cerevisiae) [Source:Projected from Anopheles gambiae (AGAP003903) VB Community Annotation],protein coding gene
AARA009891,anaphase-promoting complex subunit [Source:Projected from Anopheles gambiae (AGAP003902) VB Community Annotation],protein coding gene
AARA009892,unspecified product,protein coding gene
AARA009893,unspecified product,protein coding gene
AARA009894,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [Source:Projected from Anopheles gambiae (AGAP003900) VB Community Annotation],protein coding gene
AARA009895,sex-lethal,protein coding gene
AARA009896,unspecified product,protein coding gene
AARA009897,unspecified product,protein coding gene
AARA009898,kelch-like protein [Source:Projected from Anopheles gambiae (AGAP003895) VB Community Annotation],protein coding gene
AARA009899,Tigger transposable element-derived protein [Source:Projected from Anopheles gambiae (AGAP003894) VB Community Annotation],protein coding gene
AARA009900,C-terminal-binding protein [Source:Projected from Anopheles gambiae (AGAP003893) VB Community Annotation],protein coding gene
AARA009901,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3 [Source:Projected from Anopheles gambiae (AGAP003892) VB Community Annotation]",protein coding gene
AARA009902,THO complex subunit 3,protein coding gene
AARA009903,NADPH-dependent diflavin oxidoreductase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182I8J3],protein coding gene
AARA009904,U3 small nucleolar ribonucleoprotein protein IMP4 [Source:Projected from Anopheles gambiae (AGAP003890) VB Community Annotation],protein coding gene
AARA009905,Knickkopf [Source:Projected from Anopheles gambiae (AGAP003887) VB Community Annotation],protein coding gene
AARA009906,E3 ubiquitin protein ligase [Source:UniProtKB/TrEMBL;Acc:A0A182I8J6],protein coding gene
AARA009907,zinc finger protein GLIS1/3 [Source:Projected from Anopheles gambiae (AGAP003885) VB Community Annotation],protein coding gene
AARA009908,"alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182I8J8]",protein coding gene
AARA009909,"peptidyl-tRNA hydrolase, PTH2 family [Source:Projected from Anopheles gambiae (AGAP003883) VB Community Annotation]",protein coding gene
AARA009910,transcription initiation factor TFIID subunit [Source:Projected from Anopheles gambiae (AGAP003882) VB Community Annotation],protein coding gene
AARA009911,unspecified product,protein coding gene
AARA009912,unspecified product,protein coding gene
AARA009913,unspecified product,protein coding gene
AARA009914,unspecified product,protein coding gene
AARA009915,unspecified product,protein coding gene
AARA009916,vacuolar H+ ATPase AC45 accessory subunit,protein coding gene
AARA009917,unspecified product,protein coding gene
AARA009918,unspecified product,protein coding gene
AARA009919,"bHLH factor, other [Source:Projected from Anopheles gambiae (AGAP003876) VB Community Annotation]",protein coding gene
AARA009920,unspecified product,protein coding gene
AARA009921,uridine kinase [Source:Projected from Anopheles gambiae (AGAP003874) VB Community Annotation],protein coding gene
AARA009922,protein crumbs [Source:Projected from Anopheles gambiae (AGAP003873) VB Community Annotation],protein coding gene
AARA009923,Pecanex_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I8L3],protein coding gene
AARA009924,unspecified product,protein coding gene
AARA009925,unspecified product,protein coding gene
AARA009926,THO complex subunit 7,protein coding gene
AARA009927,unspecified product,protein coding gene
AARA009928,centrosomal protein CEP110 [Source:Projected from Anopheles gambiae (AGAP003868) VB Community Annotation],protein coding gene
AARA009929,alkylated DNA repair protein alkB homolog [Source:Projected from Anopheles gambiae (AGAP003866) VB Community Annotation],protein coding gene
AARA009930,Gamma-tubulin complex component [Source:UniProtKB/TrEMBL;Acc:A0A182I8M0],protein coding gene
AARA009931,unspecified product,protein coding gene
AARA009932,unspecified product,protein coding gene
AARA009933,Peptide deformylase [Source:UniProtKB/TrEMBL;Acc:A0A182I8M3],protein coding gene
AARA009934,proline dehydrogenase [Source:Projected from Anopheles gambiae (AGAP003860) VB Community Annotation],protein coding gene
AARA009935,Proline dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A182I8M5],protein coding gene
AARA009936,unspecified product,protein coding gene
AARA009937,ubiquitin-conjugating enzyme E2 A [Source:Projected from Anopheles gambiae (AGAP003857) VB Community Annotation],protein coding gene
AARA009938,unspecified product,protein coding gene
AARA009941,unspecified product,protein coding gene
AARA009942,unspecified product,protein coding gene
AARA009943,ubiquitin thioesterase ZRANB1 [Source:Projected from Anopheles gambiae (AGAP003853) VB Community Annotation],protein coding gene
AARA009944,snRNA-activating protein complex subunit [Source:Projected from Anopheles gambiae (AGAP003852) VB Community Annotation],protein coding gene
AARA009945,26 proteasome complex subunit DSS1 [Source:Projected from Anopheles gambiae (AGAP003851) VB Community Annotation],protein coding gene
AARA009946,unspecified product,protein coding gene
AARA009947,unspecified product,protein coding gene
AARA009948,unspecified product,protein coding gene
AARA009949,unspecified product,protein coding gene
AARA009950,unspecified product,protein coding gene
AARA009951,acyl-CoA thioesterase 9.1 [Source:Projected from Anopheles gambiae (AGAP003848) VB Community Annotation],protein coding gene
AARA009952,RNA exonuclease [Source:Projected from Anopheles gambiae (AGAP003847) VB Community Annotation],protein coding gene
AARA009953,unspecified product,protein coding gene
AARA009954,Class b basic helix-loop-helix protein [Source:Projected from Anopheles gambiae (AGAP003844) VB Community Annotation],protein coding gene
AARA009955,Cytochrome c heme lyase [Source:UniProtKB/TrEMBL;Acc:A0A182I8P5],protein coding gene
AARA009956,"proline-, glutamic acid- and leucine-rich protein [Source:Projected from Anopheles gambiae (AGAP003842) VB Community Annotation]",protein coding gene
AARA009957,salivary gland protein [Source:Projected from Anopheles gambiae (AGAP003841) VB Community Annotation],protein coding gene
AARA009958,Fem-1 homolog c [Source:Projected from Anopheles gambiae (AGAP003839) VB Community Annotation],protein coding gene
AARA009959,unspecified product,protein coding gene
AARA009960,unspecified product,protein coding gene
AARA009961,unspecified product,protein coding gene
AARA009962,Glutamine amidotransferase type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I8Q2],protein coding gene
AARA009963,unspecified product,protein coding gene
AARA009964,BAH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182I8Q4],protein coding gene
AARA009965,proteasome assembly chaperone [Source:Projected from Anopheles gambiae (AGAP003826) VB Community Annotation],protein coding gene
AARA009966,DnaJ homolog subfamily C member [Source:Projected from Anopheles gambiae (AGAP003825) VB Community Annotation],protein coding gene
AARA009967,conserved oligomeric Golgi complex subunit [Source:Projected from Anopheles gambiae (AGAP003824) VB Community Annotation],protein coding gene
AARA009968,influenza virus NS1A-binding protein [Source:Projected from Anopheles gambiae (AGAP003823) VB Community Annotation],protein coding gene
AARA009969,Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182I8Q9],protein coding gene
AARA009970,Lin-10 homolog [Source:Projected from Anopheles gambiae (AGAP003820) VB Community Annotation],protein coding gene
AARA009971,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor [Source:Projected from Anopheles gambiae (AGAP003819) VB Community Annotation],protein coding gene
AARA009972,DRN-tre [Source:Projected from Anopheles gambiae (AGAP003818) VB Community Annotation],protein coding gene
AARA009973,unspecified product,protein coding gene
AARA009974,60S ribosomal protein L30 [Source:Projected from Anopheles gambiae (AGAP003816) VB Community Annotation],protein coding gene
AARA009975,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [Source:UniProtKB/TrEMBL;Acc:A0A182I8R5],protein coding gene
AARA009977,unspecified product,protein coding gene
AARA009978,unspecified product,protein coding gene
AARA009979,unspecified product,protein coding gene
AARA009983,unspecified product,protein coding gene
AARA009984,unspecified product,protein coding gene
AARA009985,serine-type enodpeptidase [Source:Projected from Anopheles gambiae (AGAP003807) VB Community Annotation],protein coding gene
AARA009988,pseudouridine-5'-phosphate glycosidase [Source:Projected from Anopheles gambiae (AGAP003806) VB Community Annotation],protein coding gene
AARA009989,EF-hand domain (C-terminal) containing [Source:Projected from Anopheles gambiae (AGAP003805) VB Community Annotation],protein coding gene
AARA009990,unspecified product,protein coding gene
