Geneid,Gene Type,Product Description
AGAP009079,protein coding gene,"2',5'-phosphodiesterase 12 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0V0]"
AGAP009080,protein coding gene,FAD-dependent oxidoreductase domain-containing protein 1 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H017]
AGAP009081,protein coding gene,TMCO1
AGAP009082,protein coding gene,Probable 26S proteasome non-ATPase regulatory subunit 3 [Source:UniProtKB/Swiss-Prot;Acc:O61470]
AGAP009083,protein coding gene,CCHC-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H042]
AGAP009084,protein coding gene,PIH1_CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0U2]
AGAP009085,protein coding gene,Cysteine-rich secretory protein 2 precursor
AGAP009087,protein coding gene,unspecified product
AGAP009088,protein coding gene,LIM/homeobox protein Lhx3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H041]
AGAP009089,protein coding gene,unspecified product
AGAP009090,protein coding gene,Dopa decarboxylase
AGAP009091,protein coding gene,aromatic-L-amino-acid decarboxylase
AGAP009092,protein coding gene,unspecified product
AGAP009093,protein coding gene,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H054]
AGAP009094,protein coding gene,cysteine desulfurase
AGAP009095,protein coding gene,PX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0W8]
AGAP009096,protein coding gene,unspecified product
AGAP009098,protein coding gene,Protein-glutamine gamma-glutamyltransferase E
AGAP009099,protein coding gene,Transglutaminase [Source:UniProtKB/TrEMBL;Acc:D2K8K8]
AGAP009100,protein coding gene,Protein-glutamine gamma-glutamyltransferase E
AGAP009101,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H035]
AGAP009102,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H056]
AGAP009103,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H064]
AGAP009104,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0X8]
AGAP009105,protein coding gene,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform isoform c
AGAP009106,protein coding gene,CBM39 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H069]
AGAP009107,protein coding gene,unspecified product
AGAP009108,protein coding gene,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Y3]
AGAP009109,protein coding gene,CBM39 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H044]
AGAP009110,protein coding gene,unspecified product
AGAP009111,protein coding gene,odorant receptor 29
AGAP009112,protein coding gene,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0X0]
AGAP009113,ncRNA gene,unspecified product
AGAP009114,protein coding gene,"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3"
AGAP009115,protein coding gene,"phosphatidylinositol phospholipase C, beta"
AGAP009116,protein coding gene,ER-derived vesicles protein ERV14
AGAP009117,protein coding gene,"calcium uptake protein 1, mitochondrial"
AGAP009118,protein coding gene,chondroitin 4-sulfotransferase
AGAP009119,protein coding gene,suppressor of tumorigenicity protein 13
AGAP009120,protein coding gene,unspecified product
AGAP009121,protein coding gene,chymotrypsin-like protein
AGAP009122,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Y0]
AGAP009123,protein coding gene,unspecified product
AGAP009125,protein coding gene,Bardet-Biedl syndrome 8 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H081]
AGAP009126,protein coding gene,Protein expanded [Source:UniProtKB/TrEMBL;Acc:A0A1S4H089]
AGAP009127,protein coding gene,unspecified product
AGAP009128,protein coding gene,mitochondrial carnitine/acylcarnitine carrier protein
AGAP009129,protein coding gene,unspecified product
AGAP009130,protein coding gene,unspecified product
AGAP009131,protein coding gene,unspecified product
AGAP009132,protein coding gene,CKLF-like MARVEL transmembrane domain-containing protein 4
AGAP009133,protein coding gene,unspecified product
AGAP009134,protein coding gene,Membrane magnesium transporter [Source:UniProtKB/TrEMBL;Acc:Q7PW00]
AGAP009135,protein coding gene,ATP-dependent RNA helicase DDX6/DHH1
AGAP009136,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Z5]
AGAP009137,protein coding gene,Ecdysteroid UDP-glucosyltransferase
AGAP009138,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H072]
AGAP009139,protein coding gene,unspecified product
AGAP009140,protein coding gene,unspecified product
AGAP009141,protein coding gene,Mediator of RNA polymerase II transcription subunit 17 [Source:UniProtKB/Swiss-Prot;Acc:Q7PVZ2]
AGAP009142,protein coding gene,RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H100]
AGAP009143,protein coding gene,Class A Scavenger Receptor (SRCR domain) with C-Type Lectin domain.
AGAP009144,protein coding gene,unspecified product
AGAP009145,protein coding gene,unspecified product
AGAP009146,protein coding gene,unspecified product
AGAP009147,protein coding gene,forkhead box protein G
AGAP009150,protein coding gene,tubulin polyglutamylase TTLL4
AGAP009151,protein coding gene,BEN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0A7]
AGAP009152,protein coding gene,"28S ribosomal protein S21, mitochondrial"
AGAP009154,protein coding gene,actin-related protein 2/3 complex subunit 2
AGAP009155,protein coding gene,unspecified product
AGAP009156,protein coding gene,unspecified product
AGAP009158,protein coding gene,unspecified product
AGAP009159,protein coding gene,AMP dependent ligase
AGAP009160,protein coding gene,"Arf-GAP, GTPase, ANK repeat and PH domain-containing protein 1/2/3"
AGAP009161,protein coding gene,deoxyribose-phosphate aldolase
AGAP009162,protein coding gene,unspecified product
AGAP009163,protein coding gene,unspecified product
AGAP009164,protein coding gene,unspecified product
AGAP009165,protein coding gene,unspecified product
AGAP009166,protein coding gene,IMD pathway signalling IKK-beta). (ird5orthologue immune response deficient 5)
AGAP009167,protein coding gene,unspecified product
AGAP009171,protein coding gene,tRNA-dihydrouridine synthase 3
AGAP009172,protein coding gene,prolyl oligopeptidase
AGAP009173,protein coding gene,"fructose-1,6-biphosphatase"
AGAP009174,protein coding gene,vacuolar protein sorting 41 homolog
AGAP009175,protein coding gene,galactosylxylosylprotein 3-beta-galactosyltransferase
AGAP009176,protein coding gene,"fatty acid synthase, animal type"
AGAP009177,protein coding gene,Fe2OG dioxygenase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0A6]
AGAP009178,protein coding gene,Reticulon 4 interacting protein 1 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0D2]
AGAP009179,protein coding gene,Nucleolar protein 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0D9]
AGAP009180,protein coding gene,protein son of sevenless
AGAP009181,protein coding gene,RING-CH-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H150]
AGAP009182,protein coding gene,protein transport protein SEC61 subunit alpha
AGAP009183,protein coding gene,defective proboscis extension response
AGAP009184,protein coding gene,unspecified product
AGAP009185,protein coding gene,A to I editase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H143]
AGAP009187,protein coding gene,Indanol dehydrogenase
AGAP009188,protein coding gene,"solute carrier family 39 (zinc transporter), member 9"
AGAP009189,protein coding gene,unspecified product
AGAP009190,protein coding gene,Glutathione S-transferase epsilon class 8 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H148]
AGAP009191,protein coding gene,glutathione S-transferase epsilon class 6
AGAP009192,protein coding gene,glutathione S-transferase epsilon class 5
AGAP009193,protein coding gene,glutathione S-transferase epsilon class 4
AGAP009194,protein coding gene,glutathione S-transferase epsilon class 2
AGAP009195,protein coding gene,glutathione S-transferase epsilon class 1
AGAP009196,protein coding gene,glutathione S-transferase epsilon class 7
AGAP009197,protein coding gene,glutathione S-transferase epsilon class 3
AGAP009198,protein coding gene,unspecified product
AGAP009199,protein coding gene,palmitoyltransferase ZDHHC24
AGAP009200,protein coding gene,collagen type IV alpha
AGAP009201,protein coding gene,collagen type IV alpha
AGAP009202,protein coding gene,selenoprotein T
AGAP009204,protein coding gene,Eukaryotic translation initiation factor 3 subunit H [Source:UniProtKB/Swiss-Prot;Acc:Q7PVR3]
AGAP009205,protein coding gene,ankyrin repeat domain 39
AGAP009206,protein coding gene,unspecified product
AGAP009209,protein coding gene,DNA-directed RNA polymerase II subunit RPB11 [Source:UniProtKB/Swiss-Prot;Acc:Q7PVQ9]
AGAP009210,protein coding gene,unspecified product
AGAP009211,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0D7]
AGAP009212,protein coding gene,serine protease inhibitor (serpin) 6
AGAP009213,protein coding gene,serine protease inhibitor (serpin) 16
AGAP009214,protein coding gene,CLIP-domain serine protease
AGAP009215,protein coding gene,CLIP-domain serine protease
AGAP009216,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0E2]
AGAP009217,protein coding gene,CLIP-domain serine protease
AGAP009218,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0H6]
AGAP009219,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H179]
AGAP009220,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H191]
AGAP009221,protein coding gene,serine protease inhibitor (serpin) 5
AGAP009222,protein coding gene,DNA ligase 1
AGAP009223,protein coding gene,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0I1]
AGAP009224,protein coding gene,PKS_ER domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0I3]
AGAP009225,protein coding gene,Dimeric dihydrodiol dehydrogenase
AGAP009226,protein coding gene,CSRNP_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H189]
AGAP009227,protein coding gene,BHLH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1A1]
AGAP009228,protein coding gene,unspecified product
AGAP009231,protein coding gene,unspecified product
AGAP009232,protein coding gene,unspecified product
AGAP009233,protein coding gene,unspecified product
AGAP009234,protein coding gene,"elongation factor Ts, mitochondrial"
AGAP009236,protein coding gene,engulfment and cell motility protein
AGAP009237,protein coding gene,Apoptotic chromatin condensation inducer in the nucleus [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0J7]
AGAP009238,protein coding gene,unspecified product
AGAP009239,protein coding gene,RanBP-type and C3HC4-type zinc finger-containing protein 1 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1B2]
AGAP009240,protein coding gene,cytochrome P450
AGAP009241,protein coding gene,cytochrome P450
AGAP009242,protein coding gene,defective proboscis extension response
AGAP009245,protein coding gene,defective proboscis extension response
AGAP009246,protein coding gene,Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0K4]
AGAP009247,protein coding gene,defective proboscis extension response
AGAP009248,protein coding gene,defective proboscis extension response
AGAP009249,protein coding gene,unspecified product
AGAP009250,protein coding gene,unspecified product
AGAP009251,protein coding gene,unspecified product
AGAP009252,protein coding gene,unspecified product
AGAP009253,protein coding gene,unspecified product
AGAP009254,protein coding gene,NTPase_I-T domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0I2]
AGAP009255,protein coding gene,Sorting nexin-2
AGAP009256,protein coding gene,gustatory receptor 44
AGAP009257,protein coding gene,"Protein ARRD-6, isoform a [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0M0]"
AGAP009258,protein coding gene,unspecified product
AGAP009259,protein coding gene,Lysophospholipid acyltransferase 7 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1D7]
AGAP009260,protein coding gene,centrin-1
AGAP009261,protein coding gene,Rap guanine nucleotide exchange factor (GEF) 2
AGAP009262,protein coding gene,unspecified product
AGAP009263,protein coding gene,CLIP-domain serine protease [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1C9]
AGAP009264,protein coding gene,Ethanolamine-phosphate cytidylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1E2]
AGAP009265,protein coding gene,Ectonucleoside triphosphate diphosphohydrolase 5/6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0M9]
AGAP009266,protein coding gene,low molecular weight phosphotyrosine protein phosphatase
AGAP009267,protein coding gene,beat protein
AGAP009270,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0N5]
AGAP009271,protein coding gene,26S proteasome beta 1 subunit
AGAP009273,protein coding gene,Seminal fluid protein HACP027
AGAP009274,protein coding gene,unspecified product
AGAP009275,protein coding gene,sulfakinin neuropeptide
AGAP009276,protein coding gene,Piezo-type mechanosensitive ion channel component [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0N7]
AGAP009277,protein coding gene,unspecified product
AGAP009278,protein coding gene,phosphorylase kinase alpha/beta subunit
AGAP009279,protein coding gene,unspecified product
AGAP009280,protein coding gene,"phosphatidylinositol glycan, class W"
AGAP009281,protein coding gene,Apolipoprotein D precursor [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0P2]
AGAP009282,protein coding gene,Hyphantrin
AGAP009283,protein coding gene,CitMHS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1G3]
AGAP009284,protein coding gene,unspecified product
AGAP009285,protein coding gene,unspecified product
AGAP009286,protein coding gene,unspecified product
AGAP009287,ncRNA gene,unspecified product
AGAP009288,protein coding gene,Derlin-1
AGAP009289,protein coding gene,abhydrolase domain-containing protein 11
AGAP009290,protein coding gene,cohesin loading factor subunit SCC2
AGAP009291,protein coding gene,Coatomer subunit gamma
AGAP009292,protein coding gene,unspecified product
AGAP009293,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1H4]
AGAP009295,protein coding gene,Kip1 ubiquitination-promoting complex protein 1 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0N0]
AGAP009296,protein coding gene,splicing factor 45
AGAP009297,ncRNA gene,unspecified product
AGAP009299,ncRNA gene,unspecified product
AGAP009300,ncRNA gene,unspecified product
AGAP009301,ncRNA gene,unspecified product
AGAP009302,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Q7]
AGAP009303,protein coding gene,unspecified product
AGAP009304,protein coding gene,metallophosphoesterase 1
AGAP009305,protein coding gene,glucosamine-6-phosphate isomerase
AGAP009306,protein coding gene,unspecified product
AGAP009307,protein coding gene,bromodomain-containing protein 7/9
AGAP009308,protein coding gene,unspecified product
AGAP009310,protein coding gene,peptide chain release factor subunit 3
AGAP009311,protein coding gene,Tocopherol (alpha) transfer protein-like
AGAP009312,protein coding gene,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0P5]
AGAP009313,protein coding gene,unspecified product
AGAP009314,protein coding gene,unspecified product
AGAP009315,protein coding gene,adenylate cyclase 3
AGAP009316,protein coding gene,C-type lectin (CTL)
AGAP009317,protein coding gene,adenylate kinase
AGAP009318,protein coding gene,unspecified product
AGAP009319,protein coding gene,unspecified product
AGAP009320,protein coding gene,unspecified product
AGAP009321,protein coding gene,General transcription factor 3C polypeptide 5 (transcription factor C subunit [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Q3]
AGAP009322,protein coding gene,vesicle transport through interaction with t-SNAREs 1
AGAP009323,protein coding gene,prohibitin 1
AGAP009324,protein coding gene,60S ribosomal protein L34
AGAP009325,protein coding gene,unspecified product
AGAP009326,ncRNA gene,unspecified product
AGAP009327,protein coding gene,unspecified product
AGAP009328,protein coding gene,unspecified product
AGAP009329,protein coding gene,bone morphogenetic protein receptor type-1B
AGAP009330,protein coding gene,Troponin C isoform 4''
AGAP009333,protein coding gene,mitochondrial carrier protein (Rim2)
AGAP009334,protein coding gene,V-type H+-transporting ATPase 21kDa proteolipid subunit
AGAP009335,protein coding gene,F-box and leucine-rich repeat protein 15
AGAP009336,protein coding gene,unspecified product
AGAP009337,protein coding gene,unspecified product
AGAP009338,protein coding gene,"Cell division cycle 20, cofactor of APC complex [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1K1]"
AGAP009339,protein coding gene,unspecified product
AGAP009341,protein coding gene,"protein phosphatase 2 (formerly 2A), regulatory subunit B'"
AGAP009342,protein coding gene,glutathione S-transferase unclassified 3
AGAP009346,protein coding gene,unspecified product
AGAP009347,protein coding gene,FK506-binding protein 4/5
AGAP009348,protein coding gene,unspecified product
AGAP009349,protein coding gene,unspecified product
AGAP009352,protein coding gene,unspecified product
AGAP009353,protein coding gene,unspecified product
AGAP009354,protein coding gene,unspecified product
AGAP009355,protein coding gene,unspecified product
AGAP009356,protein coding gene,unspecified product
AGAP009357,protein coding gene,unspecified product
AGAP009358,protein coding gene,unspecified product
AGAP009359,protein coding gene,unspecified product
AGAP009360,protein coding gene,unspecified product
AGAP009361,protein coding gene,unspecified product
AGAP009362,protein coding gene,unspecified product
AGAP009363,protein coding gene,cytochrome P450
AGAP009364,protein coding gene,unspecified product
AGAP009365,protein coding gene,cellular retinaldehyde binding protein
AGAP009367,protein coding gene,unspecified product
AGAP009368,protein coding gene,plugin
AGAP009369,protein coding gene,unspecified product
AGAP009370,protein coding gene,unspecified product
AGAP009371,protein coding gene,unspecified product
AGAP009372,protein coding gene,unspecified product
AGAP009373,protein coding gene,unspecified product
AGAP009374,protein coding gene,cytochrome P450
AGAP009375,protein coding gene,cytochrome P450
AGAP009376,protein coding gene,CRAL_TRIO_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Y6]
AGAP009377,protein coding gene,Cellular retinaldehyde-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Y4]
AGAP009379,protein coding gene,cellular retinaldehyde-binding protein
AGAP009380,protein coding gene,cellular retinaldehyde-binding protein
AGAP009381,protein coding gene,Cellular retinaldehyde-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0Z1]
AGAP009382,protein coding gene,unspecified product
AGAP009383,protein coding gene,unspecified product
AGAP009384,protein coding gene,unspecified product
AGAP009385,protein coding gene,cellular retinaldehyde-binding protein
AGAP009386,protein coding gene,unspecified product
AGAP009387,protein coding gene,unspecified product
AGAP009388,protein coding gene,unspecified product
AGAP009389,protein coding gene,unspecified product
AGAP009390,protein coding gene,odorant receptor 53
AGAP009391,protein coding gene,odorant receptor 30
AGAP009392,protein coding gene,odorant receptor 46
AGAP009393,protein coding gene,odorant receptor 47
AGAP009394,protein coding gene,odorant receptor 16
AGAP009395,protein coding gene,odorant receptor 17
AGAP009396,protein coding gene,odorant receptor 13
AGAP009397,protein coding gene,odorant receptor 55
AGAP009398,protein coding gene,odorant receptor 15
AGAP009399,protein coding gene,nuclear hormone receptor FTZ-F1 beta
AGAP009400,protein coding gene,nuclear receptor subfamily 5 group A member 3
AGAP009401,protein coding gene,unspecified product
AGAP009402,protein coding gene,odorant-binding protein 43
AGAP009403,protein coding gene,unspecified product
AGAP009404,protein coding gene,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"
AGAP009405,protein coding gene,cuticular protein
AGAP009406,protein coding gene,unspecified product
AGAP009407,protein coding gene,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
AGAP009408,protein coding gene,odorant receptor 14
AGAP009409,protein coding gene,odorant receptor 51
AGAP009410,protein coding gene,odorant receptor 18
AGAP009411,protein coding gene,odorant receptor 20
AGAP009414,protein coding gene,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
AGAP009415,protein coding gene,lysophosphatidate acyltransferase
AGAP009416,protein coding gene,PlsC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H131]
AGAP009417,protein coding gene,PlsC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H127]
AGAP009418,protein coding gene,PlsC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1T2]
AGAP009419,protein coding gene,unspecified product
AGAP009420,protein coding gene,unspecified product
AGAP009424,protein coding gene,Calponin-homology (CH) domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1T7]
AGAP009426,protein coding gene,ephrin-B
AGAP009427,protein coding gene,unspecified product
AGAP009428,protein coding gene,ankyrin repeat domain-containing protein 29
AGAP009429,protein coding gene,unspecified product
AGAP009430,protein coding gene,unspecified product
AGAP009431,protein coding gene,40S ribosomal protein S21 [Source:UniProtKB/TrEMBL;Acc:Q7PTN4]
AGAP009432,protein coding gene,Daxx-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H146]
AGAP009433,protein coding gene,arylformamidase
AGAP009434,protein coding gene,Valacyclovir hydrolase
AGAP009435,protein coding gene,AB hydrolase-1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1Y7]
AGAP009436,protein coding gene,Valacyclovir hydrolase
AGAP009437,protein coding gene,Kraken
AGAP009438,protein coding gene,pre-rRNA-processing protein TSR1
AGAP009439,protein coding gene,membrane protein GNA1220
AGAP009440,protein coding gene,unspecified product
AGAP009441,protein coding gene,elongation factor 2
AGAP009442,protein coding gene,cyclin-dependent kinase regulatory subunit CKS1
AGAP009443,protein coding gene,excitatory amino acid transporter 3
AGAP009444,protein coding gene,chromobox protein 5
AGAP009445,protein coding gene,unspecified product
AGAP009446,protein coding gene,"solute carrier family 9 (sodium/hydrogen exchanger), member 8"
AGAP009447,protein coding gene,S-adenosylmethionine synthetase
AGAP009448,protein coding gene,unspecified product
AGAP009449,protein coding gene,MYND-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H207]
AGAP009450,protein coding gene,unspecified product
AGAP009451,protein coding gene,Rhomboid-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H171]
AGAP009453,protein coding gene,methuselah receptor 3
AGAP009455,ncRNA gene,unspecified product
AGAP009456,ncRNA gene,unspecified product
AGAP009457,protein coding gene,guanine nucleotide-binding protein subunit alpha-12
AGAP009458,protein coding gene,unspecified product
AGAP009459,protein coding gene,cyclin-dependent kinase 1
AGAP009460,protein coding gene,c-Jun N-terminal kinase
AGAP009463,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 11
AGAP009464,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 10
AGAP009466,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 8
AGAP009467,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 16 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H190]
AGAP009468,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 17 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H187]
AGAP009471,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 19
AGAP009472,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 20 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H231]
AGAP009473,protein coding gene,salivary secreted mucin 3
AGAP009476,protein coding gene,unspecified product
AGAP009478,protein coding gene,unspecified product
AGAP009479,protein coding gene,unspecified product
AGAP009480,protein coding gene,Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H206]
AGAP009485,protein coding gene,tRNA-splicing endonuclease subunit Sen2
AGAP009486,protein coding gene,V-type H+-transporting ATPase 54 kD subunit
AGAP009487,protein coding gene,unspecified product
AGAP009488,protein coding gene,histone transcription regulator
AGAP009489,protein coding gene,Cytidine deaminase [Source:UniProtKB/TrEMBL;Acc:Q7QG43]
AGAP009490,protein coding gene,Necdin-like 2
AGAP009491,protein coding gene,F-type H+-transporting ATPase subunit g
AGAP009493,protein coding gene,nicotinic acetylcholine receptor subunit alpha 9
AGAP009494,protein coding gene,"ETS-type family, other"
AGAP009495,protein coding gene,kelch domain containing 3
AGAP009496,protein coding gene,KH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H222]
AGAP009497,protein coding gene,mitochondrial import receptor subunit TOM70
AGAP009498,protein coding gene,"solute carrier family 17 (anion/sugar transporter), member 5"
AGAP009499,protein coding gene,proto-oncogene C-crk
AGAP009500,protein coding gene,"POU domain transcription factor, class 2"
AGAP009502,protein coding gene,unspecified product
AGAP009503,protein coding gene,lipoma-prefererred partner
AGAP009504,protein coding gene,U3 small nucleolar RNA-associated protein 24
AGAP009505,protein coding gene,Chaperonin containing TCP1 subunit 4
AGAP009506,protein coding gene,U5 snRNP complex subunit
AGAP009507,protein coding gene,ubiquitin thioesterase protein OTUB1
AGAP009508,protein coding gene,60S ribosomal protein L9
AGAP009509,protein coding gene,piwi
AGAP009510,protein coding gene,malate dehydrogenase
AGAP009511,protein coding gene,E3 ubiquitin-protein ligase HECTD1
AGAP009512,protein coding gene,E3 ubiquitin-protein ligase UBR7
AGAP009513,protein coding gene,ets translocation variant 1
AGAP009514,protein coding gene,putative GABA-B receptor 3
AGAP009515,protein coding gene,TOLL pathway signalling NF-kappaB Relish-like transcription factor
AGAP009518,protein coding gene,unspecified product
AGAP009519,protein coding gene,odorant receptor 2
AGAP009520,protein coding gene,odorant receptor 10
AGAP009521,protein coding gene,unspecified product
AGAP009522,protein coding gene,unspecified product
AGAP009523,protein coding gene,Major facilitator superfamily domain-containing protein 1
AGAP009524,protein coding gene,SFT2 domain-containing protein 3
AGAP009525,protein coding gene,unspecified product
AGAP009526,protein coding gene,unspecified product
AGAP009527,protein coding gene,unspecified product
AGAP009528,protein coding gene,unspecified product
AGAP009531,protein coding gene,unspecified product
AGAP009532,protein coding gene,histidine protein methyltransferase 1 homolog
AGAP009535,protein coding gene,unspecified product
AGAP009536,protein coding gene,KIF1-binding protein homolog
AGAP009537,protein coding gene,cytochrome c
AGAP009538,protein coding gene,AP-2 complex subunit alpha [Source:UniProtKB/Swiss-Prot;Acc:Q7QG73]
AGAP009539,protein coding gene,DNA-directed RNA polymerase I subunit RPA2
AGAP009540,protein coding gene,glucose dehydrogenase (acceptor)
AGAP009541,protein coding gene,glucose dehydrogenase (acceptor)
AGAP009542,protein coding gene,unspecified product
AGAP009543,protein coding gene,bicotinamide nucleotide adenylyltransferase 1
AGAP009546,protein coding gene,endoplasmic reticulum lectin 1
AGAP009548,protein coding gene,AAA family ATPase
AGAP009549,protein coding gene,unspecified product
AGAP009550,protein coding gene,unspecified product
AGAP009551,protein coding gene,sulfotransferase (Sult)
AGAP009552,protein coding gene,sulfotransferase (Sult)
AGAP009553,protein coding gene,sulfotransferase (Sult)
AGAP009556,protein coding gene,unspecified product
AGAP009558,protein coding gene,transcription initiation factor TFIIB
AGAP009559,protein coding gene,unspecified product
AGAP009560,protein coding gene,unspecified product
AGAP009561,protein coding gene,unspecified product
AGAP009562,protein coding gene,"UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase"
AGAP009563,protein coding gene,Myotubularin related protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1F2]
AGAP009564,protein coding gene,"ATP synthase epsilon chain, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1S4H1H8]"
AGAP009565,protein coding gene,TANK-binding kinase 1
AGAP009566,protein coding gene,zinc finger protein 271
AGAP009567,protein coding gene,mitochondrial inner membrane protease ATP23 homolog
AGAP009568,protein coding gene,dynein heavy chain
AGAP009569,protein coding gene,syntenin-1 isoform 1
AGAP009570,protein coding gene,RNA-binding protein with serine-rich domain 1
